"BION.TMC"
Time/sec,Abs
0.0,1.5543
1.0,1.5510
2.0,1.5478
3.0,1.5446
4.0,1.5414
5.0,1.5381
6.0,1.5350
7.0,1.5317
8.0,1.5284
9.0,1.5251
10.0,1.5218
11.0,1.5184
12.0,1.5150
13.0,1.5115
14.0,1.5079
15.0,1.5046
16.0,1.5012
17.0,1.4980
18.0,1.4949
19.0,1.4916
20.0,1.4882
21.0,1.4849
22.0,1.4816
23.0,1.4782
24.0,1.4749
25.0,1.4715
26.0,1.4681
27.0,1.4647
28.0,1.4614
29.0,1.4581
30.0,1.4547
31.0,1.4514
32.0,1.4480
33.0,1.4448
34.0,1.4415
35.0,1.4382
36.0,1.4348
37.0,1.4315
38.0,1.4280
39.0,1.4245
40.0,1.4210
41.0,1.4176
42.0,1.4142
43.0,1.4108
44.0,1.4074
45.0,1.4040
46.0,1.4006
47.0,1.3972
48.0,1.3937
49.0,1.3903
50.0,1.3868
51.0,1.3833
52.0,1.3799
53.0,1.3764
54.0,1.3730
55.0,1.3696
56.0,1.3662
57.0,1.3628
58.0,1.3593
59.0,1.3559
60.0,1.3525
61.0,1.3490
62.0,1.3456
63.0,1.3421
64.0,1.3387
65.0,1.3352
66.0,1.3318
67.0,1.3283
68.0,1.3248
69.0,1.3213
70.0,1.3179
71.0,1.3145
72.0,1.3110
73.0,1.3077
74.0,1.3042
75.0,1.3007
76.0,1.2973
77.0,1.2938
78.0,1.2904
79.0,1.2870
80.0,1.2835
81.0,1.2801
82.0,1.2767
83.0,1.2732
84.0,1.2698
85.0,1.2664
86.0,1.2629
87.0,1.2595
88.0,1.2561
89.0,1.2527
90.0,1.2493
91.0,1.2458
92.0,1.2425
93.0,1.2390
94.0,1.2357
95.0,1.2323
96.0,1.2289
97.0,1.2256
98.0,1.2222
99.0,1.2188
100.0,1.2155
101.0,1.2122
102.0,1.2089
103.0,1.2056
104.0,1.2022
105.0,1.1989
106.0,1.1955
107.0,1.1923
108.0,1.1890
109.0,1.1856
110.0,1.1824
111.0,1.1791
112.0,1.1757
113.0,1.1725
114.0,1.1692
115.0,1.1659
116.0,1.1626
117.0,1.1594
118.0,1.1561
119.0,1.1528
120.0,1.1494
121.0,1.1462
122.0,1.1430
123.0,1.1396
124.0,1.1364
125.0,1.1331
126.0,1.1298
127.0,1.1265
128.0,1.1233
129.0,1.1201
130.0,1.1169
131.0,1.1137
132.0,1.1105
133.0,1.1072
134.0,1.1041
135.0,1.1008
136.0,1.0977
137.0,1.0944
138.0,1.0913
139.0,1.0881
140.0,1.0849
141.0,1.0817
142.0,1.0786
143.0,1.0754
144.0,1.0722
145.0,1.0691
146.0,1.0660
147.0,1.0629
148.0,1.0597
149.0,1.0566
150.0,1.0534
151.0,1.0503
152.0,1.0471
153.0,1.0441
154.0,1.0410
155.0,1.0379
156.0,1.0348
157.0,1.0317
158.0,1.0286
159.0,1.0256
160.0,1.0225
161.0,1.0196
162.0,1.0165
163.0,1.0136
164.0,1.0105
165.0,1.0076
166.0,1.0046
167.0,1.0016
168.0,0.9987
169.0,0.9958
170.0,0.9927
171.0,0.9898
172.0,0.9868
173.0,0.9839
174.0,0.9809
175.0,0.9780
176.0,0.9751
177.0,0.9722
178.0,0.9692
179.0,0.9663
180.0,0.9634
181.0,0.9606
182.0,0.9576
183.0,0.9547
184.0,0.9518
185.0,0.9490
186.0,0.9461
187.0,0.9432
188.0,0.9404
189.0,0.9375
190.0,0.9347
191.0,0.9318
192.0,0.9290
193.0,0.9262
194.0,0.9234
195.0,0.9206
196.0,0.9178
197.0,0.9150
198.0,0.9122
199.0,0.9095
200.0,0.9067
201.0,0.9039
202.0,0.9012
203.0,0.8984
204.0,0.8957
205.0,0.8931
206.0,0.8903
207.0,0.8877
208.0,0.8850
209.0,0.8823
210.0,0.8796
211.0,0.8770
212.0,0.8743
213.0,0.8716
214.0,0.8690
215.0,0.8665
216.0,0.8640
217.0,0.8615
218.0,0.8592
219.0,0.8566
220.0,0.8540
221.0,0.8513
222.0,0.8486
223.0,0.8459
224.0,0.8432
225.0,0.8406
226.0,0.8380
227.0,0.8355
228.0,0.8330
229.0,0.8305
230.0,0.8280
231.0,0.8255
232.0,0.8231
233.0,0.8206
234.0,0.8181
235.0,0.8156
236.0,0.8132
237.0,0.8107
238.0,0.8083
239.0,0.8059
240.0,0.8034
241.0,0.8010
242.0,0.7986
243.0,0.7962
244.0,0.7938
245.0,0.7915
246.0,0.7890
247.0,0.7867
248.0,0.7843
249.0,0.7820
250.0,0.7796
251.0,0.7774
252.0,0.7751
253.0,0.7728
254.0,0.7704
255.0,0.7681
256.0,0.7659
257.0,0.7636
258.0,0.7613
259.0,0.7590
260.0,0.7569
261.0,0.7546
262.0,0.7523
263.0,0.7501
264.0,0.7479
265.0,0.7458
266.0,0.7435
267.0,0.7414
268.0,0.7391
269.0,0.7370
270.0,0.7348
271.0,0.7327
272.0,0.7306
273.0,0.7284
274.0,0.7263
275.0,0.7242
276.0,0.7221
277.0,0.7199
278.0,0.7178
279.0,0.7157
280.0,0.7136
281.0,0.7116
282.0,0.7095
283.0,0.7075
284.0,0.7055
285.0,0.7035
286.0,0.7014
287.0,0.6994
288.0,0.6974
289.0,0.6954
290.0,0.6933
291.0,0.6913
292.0,0.6892
293.0,0.6873
294.0,0.6853
295.0,0.6833
296.0,0.6813
297.0,0.6794
298.0,0.6774
299.0,0.6755
300.0,0.6735
301.0,0.6716
302.0,0.6697
303.0,0.6678
304.0,0.6658
305.0,0.6639
306.0,0.6620
307.0,0.6601
308.0,0.6583
309.0,0.6565
310.0,0.6546
311.0,0.6528
312.0,0.6509
313.0,0.6491
314.0,0.6473
315.0,0.6455
316.0,0.6436
317.0,0.6417
318.0,0.6399
319.0,0.6381
320.0,0.6363
321.0,0.6346
322.0,0.6328
323.0,0.6310
324.0,0.6293
325.0,0.6276
326.0,0.6259
327.0,0.6241
328.0,0.6223
329.0,0.6205
330.0,0.6189
331.0,0.6171
332.0,0.6154
333.0,0.6137
334.0,0.6120
335.0,0.6103
336.0,0.6086
337.0,0.6070
338.0,0.6054
339.0,0.6036
340.0,0.6020
341.0,0.6004
342.0,0.5987
343.0,0.5971
344.0,0.5955
345.0,0.5938
346.0,0.5922
347.0,0.5906
348.0,0.5890
349.0,0.5875
350.0,0.5859
351.0,0.5843
352.0,0.5828
353.0,0.5812
354.0,0.5796
355.0,0.5780
356.0,0.5765
357.0,0.5749
358.0,0.5734
359.0,0.5719
360.0,0.5703
361.0,0.5688
362.0,0.5673
363.0,0.5658
364.0,0.5643
365.0,0.5628
366.0,0.5613
367.0,0.5599
368.0,0.5584
369.0,0.5569
370.0,0.5554
371.0,0.5539
372.0,0.5525
373.0,0.5511
374.0,0.5496
375.0,0.5482
376.0,0.5467
377.0,0.5453
378.0,0.5438
379.0,0.5424
380.0,0.5410
381.0,0.5395
382.0,0.5382
383.0,0.5368
384.0,0.5355
385.0,0.5341
386.0,0.5328
387.0,0.5315
388.0,0.5302
389.0,0.5288
390.0,0.5275
391.0,0.5262
392.0,0.5248
393.0,0.5235
394.0,0.5222
395.0,0.5208
396.0,0.5196
397.0,0.5182
398.0,0.5169
399.0,0.5156
400.0,0.5143
