"CION.TMC"
Time/sec,Abs
0.0,1.0794
1.0,1.0772
2.0,1.0749
3.0,1.0727
4.0,1.0702
5.0,1.0677
6.0,1.0652
7.0,1.0625
8.0,1.0599
9.0,1.0574
10.0,1.0550
11.0,1.0525
12.0,1.0501
13.0,1.0477
14.0,1.0454
15.0,1.0430
16.0,1.0405
17.0,1.0382
18.0,1.0359
19.0,1.0337
20.0,1.0316
21.0,1.0294
22.0,1.0272
23.0,1.0248
24.0,1.0226
25.0,1.0204
26.0,1.0179
27.0,1.0158
28.0,1.0135
29.0,1.0113
30.0,1.0091
31.0,1.0067
32.0,1.0044
33.0,1.0020
34.0,0.9995
35.0,0.9971
36.0,0.9946
37.0,0.9922
38.0,0.9896
39.0,0.9871
40.0,0.9846
41.0,0.9821
42.0,0.9796
43.0,0.9771
44.0,0.9745
45.0,0.9720
46.0,0.9692
47.0,0.9667
48.0,0.9641
49.0,0.9616
50.0,0.9591
51.0,0.9565
52.0,0.9539
53.0,0.9514
54.0,0.9489
55.0,0.9463
56.0,0.9437
57.0,0.9412
58.0,0.9386
59.0,0.9359
60.0,0.9334
61.0,0.9308
62.0,0.9282
63.0,0.9257
64.0,0.9232
65.0,0.9206
66.0,0.9182
67.0,0.9156
68.0,0.9132
69.0,0.9106
70.0,0.9081
71.0,0.9056
72.0,0.9031
73.0,0.9006
74.0,0.8982
75.0,0.8957
76.0,0.8932
77.0,0.8907
78.0,0.8883
79.0,0.8858
80.0,0.8833
81.0,0.8808
82.0,0.8784
83.0,0.8759
84.0,0.8734
85.0,0.8709
86.0,0.8685
87.0,0.8660
88.0,0.8635
89.0,0.8611
90.0,0.8587
91.0,0.8563
92.0,0.8539
93.0,0.8515
94.0,0.8491
95.0,0.8467
96.0,0.8443
97.0,0.8419
98.0,0.8395
99.0,0.8372
100.0,0.8348
101.0,0.8324
102.0,0.8301
103.0,0.8276
104.0,0.8253
105.0,0.8230
106.0,0.8206
107.0,0.8183
108.0,0.8159
109.0,0.8135
110.0,0.8112
111.0,0.8089
112.0,0.8066
113.0,0.8044
114.0,0.8020
115.0,0.7997
116.0,0.7973
117.0,0.7950
118.0,0.7927
119.0,0.7904
120.0,0.7880
121.0,0.7857
122.0,0.7834
123.0,0.7811
124.0,0.7787
125.0,0.7764
126.0,0.7742
127.0,0.7719
128.0,0.7696
129.0,0.7673
130.0,0.7650
131.0,0.7627
132.0,0.7604
133.0,0.7581
134.0,0.7558
135.0,0.7535
136.0,0.7512
137.0,0.7489
138.0,0.7466
139.0,0.7443
140.0,0.7420
141.0,0.7398
142.0,0.7375
143.0,0.7353
144.0,0.7330
145.0,0.7308
146.0,0.7286
147.0,0.7263
148.0,0.7240
149.0,0.7219
150.0,0.7195
151.0,0.7172
152.0,0.7150
153.0,0.7128
154.0,0.7106
155.0,0.7084
156.0,0.7063
157.0,0.7042
158.0,0.7021
159.0,0.7000
160.0,0.6979
161.0,0.6958
162.0,0.6936
163.0,0.6915
164.0,0.6893
165.0,0.6872
166.0,0.6850
167.0,0.6829
168.0,0.6807
169.0,0.6786
170.0,0.6764
171.0,0.6743
172.0,0.6722
173.0,0.6700
174.0,0.6679
175.0,0.6659
176.0,0.6638
177.0,0.6618
178.0,0.6598
179.0,0.6577
180.0,0.6558
181.0,0.6538
182.0,0.6518
183.0,0.6498
184.0,0.6479
185.0,0.6459
186.0,0.6439
187.0,0.6419
188.0,0.6400
189.0,0.6381
190.0,0.6362
191.0,0.6344
192.0,0.6325
193.0,0.6306
194.0,0.6288
195.0,0.6269
196.0,0.6250
197.0,0.6232
198.0,0.6213
199.0,0.6194
200.0,0.6174
201.0,0.6155
202.0,0.6137
203.0,0.6118
204.0,0.6099
205.0,0.6080
206.0,0.6062
207.0,0.6043
208.0,0.6025
209.0,0.6007
210.0,0.5989
211.0,0.5971
212.0,0.5952
213.0,0.5934
214.0,0.5916
215.0,0.5897
216.0,0.5879
217.0,0.5861
218.0,0.5843
219.0,0.5825
220.0,0.5808
221.0,0.5790
222.0,0.5773
223.0,0.5755
224.0,0.5738
225.0,0.5721
226.0,0.5705
227.0,0.5688
228.0,0.5671
229.0,0.5655
230.0,0.5638
231.0,0.5622
232.0,0.5606
233.0,0.5589
234.0,0.5574
235.0,0.5559
236.0,0.5543
237.0,0.5528
238.0,0.5512
239.0,0.5496
240.0,0.5480
241.0,0.5464
242.0,0.5448
243.0,0.5433
244.0,0.5418
245.0,0.5402
246.0,0.5387
247.0,0.5371
248.0,0.5356
249.0,0.5341
250.0,0.5325
251.0,0.5310
252.0,0.5294
253.0,0.5279
254.0,0.5264
255.0,0.5249
256.0,0.5234
257.0,0.5219
258.0,0.5204
259.0,0.5190
260.0,0.5175
261.0,0.5160
262.0,0.5146
263.0,0.5131
264.0,0.5117
265.0,0.5102
266.0,0.5088
267.0,0.5074
268.0,0.5060
269.0,0.5045
270.0,0.5031
271.0,0.5017
272.0,0.5003
273.0,0.4988
274.0,0.4974
275.0,0.4960
276.0,0.4946
277.0,0.4933
278.0,0.4919
279.0,0.4906
280.0,0.4892
281.0,0.4879
282.0,0.4865
283.0,0.4852
284.0,0.4839
285.0,0.4826
286.0,0.4812
287.0,0.4799
288.0,0.4787
289.0,0.4774
290.0,0.4761
291.0,0.4748
292.0,0.4734
293.0,0.4721
294.0,0.4709
295.0,0.4696
296.0,0.4683
297.0,0.4671
298.0,0.4658
299.0,0.4646
300.0,0.4633
301.0,0.4620
302.0,0.4608
303.0,0.4596
304.0,0.4584
305.0,0.4571
306.0,0.4558
307.0,0.4546
308.0,0.4534
309.0,0.4521
310.0,0.4510
311.0,0.4498
312.0,0.4486
313.0,0.4474
314.0,0.4462
315.0,0.4450
316.0,0.4439
317.0,0.4426
318.0,0.4415
319.0,0.4403
320.0,0.4392
321.0,0.4380
322.0,0.4369
323.0,0.4358
324.0,0.4347
325.0,0.4336
326.0,0.4326
327.0,0.4314
328.0,0.4304
329.0,0.4293
330.0,0.4282
331.0,0.4271
332.0,0.4260
333.0,0.4250
334.0,0.4239
335.0,0.4228
336.0,0.4218
337.0,0.4208
338.0,0.4197
339.0,0.4187
340.0,0.4176
341.0,0.4166
342.0,0.4155
343.0,0.4145
344.0,0.4134
345.0,0.4124
346.0,0.4115
347.0,0.4105
348.0,0.4096
349.0,0.4087
350.0,0.4078
351.0,0.4068
352.0,0.4059
353.0,0.4049
354.0,0.4040
355.0,0.4032
356.0,0.4023
357.0,0.4014
358.0,0.4005
359.0,0.3996
360.0,0.3987
361.0,0.3978
362.0,0.3969
363.0,0.3959
364.0,0.3950
365.0,0.3941
366.0,0.3932
367.0,0.3923
368.0,0.3913
369.0,0.3904
370.0,0.3895
371.0,0.3880
372.0,0.3871
373.0,0.3862
374.0,0.3853
375.0,0.3845
376.0,0.3836
377.0,0.3827
378.0,0.3819
379.0,0.3810
380.0,0.3802
381.0,0.3793
382.0,0.3785
383.0,0.3777
384.0,0.3769
385.0,0.3760
386.0,0.3752
387.0,0.3745
388.0,0.3736
389.0,0.3728
390.0,0.3720
391.0,0.3712
392.0,0.3704
393.0,0.3696
394.0,0.3689
395.0,0.3681
396.0,0.3673
397.0,0.3665
398.0,0.3658
399.0,0.3651
400.0,0.3643
