"AION.TMC"
Time/sec,Abs
0.0,1.7330
1.0,1.7290
2.0,1.7249
3.0,1.7208
4.0,1.7167
5.0,1.7124
6.0,1.7085
7.0,1.7043
8.0,1.7003
9.0,1.6959
10.0,1.6915
11.0,1.6872
12.0,1.6829
13.0,1.6786
14.0,1.6743
15.0,1.6699
16.0,1.6657
17.0,1.6615
18.0,1.6572
19.0,1.6530
20.0,1.6489
21.0,1.6446
22.0,1.6405
23.0,1.6363
24.0,1.6317
25.0,1.6272
26.0,1.6224
27.0,1.6181
28.0,1.6139
29.0,1.6094
30.0,1.6049
31.0,1.6005
32.0,1.5962
33.0,1.5920
34.0,1.5878
35.0,1.5836
36.0,1.5794
37.0,1.5752
38.0,1.5708
39.0,1.5664
40.0,1.5623
41.0,1.5587
42.0,1.5552
43.0,1.5513
44.0,1.5470
45.0,1.5421
46.0,1.5365
47.0,1.5305
48.0,1.5262
49.0,1.5218
50.0,1.5175
51.0,1.5132
52.0,1.5089
53.0,1.5046
54.0,1.5003
55.0,1.4959
56.0,1.4917
57.0,1.4873
58.0,1.4829
59.0,1.4787
60.0,1.4742
61.0,1.4699
62.0,1.4655
63.0,1.4611
64.0,1.4567
65.0,1.4525
66.0,1.4481
67.0,1.4439
68.0,1.4395
69.0,1.4353
70.0,1.4309
71.0,1.4266
72.0,1.4221
73.0,1.4177
74.0,1.4135
75.0,1.4090
76.0,1.4046
77.0,1.4003
78.0,1.3959
79.0,1.3917
80.0,1.3873
81.0,1.3830
82.0,1.3786
83.0,1.3744
84.0,1.3701
85.0,1.3658
86.0,1.3615
87.0,1.3572
88.0,1.3529
89.0,1.3486
90.0,1.3443
91.0,1.3400
92.0,1.3358
93.0,1.3315
94.0,1.3271
95.0,1.3228
96.0,1.3186
97.0,1.3143
98.0,1.3100
99.0,1.3056
100.0,1.3012
101.0,1.2971
102.0,1.2928
103.0,1.2886
104.0,1.2845
105.0,1.2804
106.0,1.2762
107.0,1.2721
108.0,1.2679
109.0,1.2638
110.0,1.2596
111.0,1.2554
112.0,1.2512
113.0,1.2471
114.0,1.2430
115.0,1.2389
116.0,1.2348
117.0,1.2306
118.0,1.2265
119.0,1.2223
120.0,1.2180
121.0,1.2140
122.0,1.2101
123.0,1.2060
124.0,1.2020
125.0,1.1978
126.0,1.1939
127.0,1.1898
128.0,1.1856
129.0,1.1815
130.0,1.1774
131.0,1.1733
132.0,1.1693
133.0,1.1653
134.0,1.1614
135.0,1.1574
136.0,1.1535
137.0,1.1496
138.0,1.1455
139.0,1.1415
140.0,1.1376
141.0,1.1337
142.0,1.1298
143.0,1.1259
144.0,1.1220
145.0,1.1182
146.0,1.1142
147.0,1.1104
148.0,1.1065
149.0,1.1027
150.0,1.0989
151.0,1.0949
152.0,1.0911
153.0,1.0874
154.0,1.0835
155.0,1.0796
156.0,1.0756
157.0,1.0715
158.0,1.0675
159.0,1.0636
160.0,1.0598
161.0,1.0559
162.0,1.0521
163.0,1.0483
164.0,1.0444
165.0,1.0406
166.0,1.0367
167.0,1.0329
168.0,1.0291
169.0,1.0253
170.0,1.0216
171.0,1.0179
172.0,1.0142
173.0,1.0107
174.0,1.0071
175.0,1.0038
176.0,1.0006
177.0,0.9972
178.0,0.9939
179.0,0.9906
180.0,0.9874
181.0,0.9841
182.0,0.9809
183.0,0.9776
184.0,0.9743
185.0,0.9711
186.0,0.9677
187.0,0.9644
188.0,0.9610
189.0,0.9576
190.0,0.9543
191.0,0.9508
192.0,0.9475
193.0,0.9441
194.0,0.9406
195.0,0.9372
196.0,0.9339
197.0,0.9305
198.0,0.9271
199.0,0.9238
200.0,0.9206
201.0,0.9174
202.0,0.9141
203.0,0.9109
204.0,0.9078
205.0,0.9047
206.0,0.9015
207.0,0.8983
208.0,0.8950
209.0,0.8917
210.0,0.8883
211.0,0.8851
212.0,0.8816
213.0,0.8782
214.0,0.8750
215.0,0.8718
216.0,0.8687
217.0,0.8656
218.0,0.8625
219.0,0.8594
220.0,0.8563
221.0,0.8532
222.0,0.8501
223.0,0.8470
224.0,0.8439
225.0,0.8408
226.0,0.8377
227.0,0.8347
228.0,0.8318
229.0,0.8289
230.0,0.8263
231.0,0.8235
232.0,0.8208
233.0,0.8181
234.0,0.8155
235.0,0.8129
236.0,0.8101
237.0,0.8073
238.0,0.8046
239.0,0.8019
240.0,0.7991
241.0,0.7963
242.0,0.7935
243.0,0.7907
244.0,0.7879
245.0,0.7851
246.0,0.7822
247.0,0.7795
248.0,0.7767
249.0,0.7740
250.0,0.7713
251.0,0.7686
252.0,0.7658
253.0,0.7630
254.0,0.7603
255.0,0.7576
256.0,0.7550
257.0,0.7524
258.0,0.7497
259.0,0.7471
260.0,0.7445
261.0,0.7419
262.0,0.7393
263.0,0.7367
264.0,0.7340
265.0,0.7315
266.0,0.7289
267.0,0.7264
268.0,0.7239
269.0,0.7214
270.0,0.7188
271.0,0.7164
272.0,0.7139
273.0,0.7115
274.0,0.7091
275.0,0.7067
276.0,0.7043
277.0,0.7020
278.0,0.6996
279.0,0.6972
280.0,0.6949
281.0,0.6925
282.0,0.6902
283.0,0.6879
284.0,0.6855
285.0,0.6832
286.0,0.6809
287.0,0.6786
288.0,0.6763
289.0,0.6739
290.0,0.6716
291.0,0.6694
292.0,0.6671
293.0,0.6648
294.0,0.6625
295.0,0.6603
296.0,0.6580
297.0,0.6559
298.0,0.6537
299.0,0.6516
300.0,0.6495
301.0,0.6474
302.0,0.6453
303.0,0.6433
304.0,0.6413
305.0,0.6392
306.0,0.6372
307.0,0.6351
308.0,0.6331
309.0,0.6311
310.0,0.6291
311.0,0.6271
312.0,0.6251
313.0,0.6230
314.0,0.6210
315.0,0.6191
316.0,0.6170
317.0,0.6150
318.0,0.6131
319.0,0.6110
320.0,0.6090
321.0,0.6071
322.0,0.6050
323.0,0.6030
324.0,0.6009
325.0,0.5989
326.0,0.5968
327.0,0.5948
328.0,0.5928
329.0,0.5907
330.0,0.5888
331.0,0.5868
332.0,0.5848
333.0,0.5829
334.0,0.5810
335.0,0.5791
336.0,0.5772
337.0,0.5754
338.0,0.5735
339.0,0.5717
340.0,0.5698
341.0,0.5679
342.0,0.5661
343.0,0.5643
344.0,0.5625
345.0,0.5608
346.0,0.5590
347.0,0.5573
348.0,0.5556
349.0,0.5539
350.0,0.5522
351.0,0.5506
352.0,0.5489
353.0,0.5472
354.0,0.5456
355.0,0.5439
356.0,0.5422
357.0,0.5405
358.0,0.5388
359.0,0.5372
360.0,0.5355
361.0,0.5339
362.0,0.5322
363.0,0.5305
364.0,0.5289
365.0,0.5273
366.0,0.5257
367.0,0.5241
368.0,0.5225
369.0,0.5209
370.0,0.5192
371.0,0.5177
372.0,0.5161
373.0,0.5144
374.0,0.5129
375.0,0.5113
376.0,0.5097
