"DION.TMC"
Time/sec,Abs
0.0,1.8610
1.0,1.8565
2.0,1.8523
3.0,1.8478
4.0,1.8435
5.0,1.8391
6.0,1.8342
7.0,1.8295
8.0,1.8248
9.0,1.8204
10.0,1.8152
11.0,1.8103
12.0,1.8054
13.0,1.8002
14.0,1.7950
15.0,1.7900
16.0,1.7855
17.0,1.7807
18.0,1.7759
19.0,1.7703
20.0,1.7648
21.0,1.7595
22.0,1.7542
23.0,1.7490
24.0,1.7444
25.0,1.7391
26.0,1.7341
27.0,1.7293
28.0,1.7243
29.0,1.7193
30.0,1.7141
31.0,1.7090
32.0,1.7038
33.0,1.6989
34.0,1.6938
35.0,1.6887
36.0,1.6841
37.0,1.6788
38.0,1.6737
39.0,1.6685
40.0,1.6635
41.0,1.6585
42.0,1.6535
43.0,1.6484
44.0,1.6435
45.0,1.6384
46.0,1.6333
47.0,1.6282
48.0,1.6231
49.0,1.6181
50.0,1.6129
51.0,1.6078
52.0,1.6029
53.0,1.5981
54.0,1.5931
55.0,1.5882
56.0,1.5828
57.0,1.5776
58.0,1.5722
59.0,1.5671
60.0,1.5620
61.0,1.5568
62.0,1.5518
63.0,1.5466
64.0,1.5414
65.0,1.5363
66.0,1.5310
67.0,1.5260
68.0,1.5207
69.0,1.5154
70.0,1.5103
71.0,1.5051
72.0,1.4998
73.0,1.4947
74.0,1.4896
75.0,1.4842
76.0,1.4792
77.0,1.4739
78.0,1.4689
79.0,1.4637
80.0,1.4585
81.0,1.4534
82.0,1.4481
83.0,1.4431
84.0,1.4380
85.0,1.4329
86.0,1.4277
87.0,1.4226
88.0,1.4175
89.0,1.4123
90.0,1.4072
91.0,1.4021
92.0,1.3970
93.0,1.3919
94.0,1.3869
95.0,1.3818
96.0,1.3768
97.0,1.3717
98.0,1.3668
99.0,1.3618
100.0,1.3567
101.0,1.3517
102.0,1.3468
103.0,1.3418
104.0,1.3367
105.0,1.3318
106.0,1.3267
107.0,1.3218
108.0,1.3168
109.0,1.3119
110.0,1.3070
111.0,1.3019
112.0,1.2970
113.0,1.2921
114.0,1.2871
115.0,1.2822
116.0,1.2774
117.0,1.2726
118.0,1.2676
119.0,1.2627
120.0,1.2579
121.0,1.2531
122.0,1.2483
123.0,1.2435
124.0,1.2386
125.0,1.2339
126.0,1.2292
127.0,1.2244
128.0,1.2197
129.0,1.2150
130.0,1.2102
131.0,1.2055
132.0,1.2009
133.0,1.1963
134.0,1.1916
135.0,1.1870
136.0,1.1824
137.0,1.1777
138.0,1.1731
139.0,1.1685
140.0,1.1639
141.0,1.1593
142.0,1.1547
143.0,1.1501
144.0,1.1456
145.0,1.1411
146.0,1.1367
147.0,1.1321
148.0,1.1277
149.0,1.1232
150.0,1.1188
151.0,1.1144
152.0,1.1099
153.0,1.1055
154.0,1.1010
155.0,1.0966
156.0,1.0923
157.0,1.0879
158.0,1.0835
159.0,1.0792
160.0,1.0749
161.0,1.0706
162.0,1.0663
163.0,1.0620
164.0,1.0578
165.0,1.0535
166.0,1.0494
167.0,1.0453
168.0,1.0412
169.0,1.0371
170.0,1.0331
171.0,1.0291
172.0,1.0251
173.0,1.0208
174.0,1.0166
175.0,1.0124
