"EION.TMC"
Time/sec,Abs
0.0,1.8886
1.0,1.8862
2.0,1.8838
3.0,1.8814
4.0,1.8789
5.0,1.8764
6.0,1.8740
7.0,1.8714
8.0,1.8688
9.0,1.8664
10.0,1.8636
11.0,1.8612
12.0,1.8586
13.0,1.8561
14.0,1.8530
15.0,1.8502
16.0,1.8474
17.0,1.8448
18.0,1.8419
19.0,1.8387
20.0,1.8359
21.0,1.8330
22.0,1.8300
23.0,1.8273
24.0,1.8244
25.0,1.8216
26.0,1.8187
27.0,1.8158
28.0,1.8129
29.0,1.8099
30.0,1.8071
31.0,1.8041
32.0,1.8012
33.0,1.7983
34.0,1.7955
35.0,1.7924
36.0,1.7895
37.0,1.7868
38.0,1.7836
39.0,1.7807
40.0,1.7778
41.0,1.7749
42.0,1.7721
43.0,1.7691
44.0,1.7663
45.0,1.7635
46.0,1.7608
47.0,1.7576
48.0,1.7547
49.0,1.7517
50.0,1.7487
51.0,1.7459
52.0,1.7430
53.0,1.7398
54.0,1.7370
55.0,1.7341
56.0,1.7311
57.0,1.7283
58.0,1.7253
59.0,1.7223
60.0,1.7194
61.0,1.7163
62.0,1.7135
63.0,1.7104
64.0,1.7077
65.0,1.7047
66.0,1.7019
67.0,1.6988
68.0,1.6960
69.0,1.6930
70.0,1.6899
71.0,1.6869
72.0,1.6839
73.0,1.6811
74.0,1.6779
75.0,1.6749
76.0,1.6717
77.0,1.6688
78.0,1.6660
79.0,1.6628
80.0,1.6600
81.0,1.6569
82.0,1.6539
83.0,1.6508
84.0,1.6476
85.0,1.6447
86.0,1.6417
87.0,1.6388
88.0,1.6356
89.0,1.6325
90.0,1.6296
91.0,1.6266
92.0,1.6235
93.0,1.6205
94.0,1.6174
95.0,1.6146
96.0,1.6114
97.0,1.6082
98.0,1.6053
99.0,1.6022
100.0,1.5992
101.0,1.5960
102.0,1.5932
103.0,1.5902
104.0,1.5870
105.0,1.5840
106.0,1.5809
107.0,1.5778
108.0,1.5749
109.0,1.5717
110.0,1.5687
111.0,1.5657
112.0,1.5628
113.0,1.5596
114.0,1.5566
115.0,1.5536
116.0,1.5505
117.0,1.5475
118.0,1.5443
119.0,1.5413
120.0,1.5384
121.0,1.5353
122.0,1.5323
123.0,1.5292
124.0,1.5262
125.0,1.5231
126.0,1.5202
127.0,1.5171
128.0,1.5141
129.0,1.5109
130.0,1.5080
131.0,1.5050
132.0,1.5020
133.0,1.4991
134.0,1.4959
135.0,1.4930
136.0,1.4900
137.0,1.4870
138.0,1.4840
139.0,1.4809
140.0,1.4780
141.0,1.4751
142.0,1.4720
143.0,1.4689
144.0,1.4659
145.0,1.4629
146.0,1.4599
147.0,1.4570
148.0,1.4539
149.0,1.4511
150.0,1.4481
151.0,1.4451
152.0,1.4422
153.0,1.4393
154.0,1.4363
155.0,1.4334
156.0,1.4304
157.0,1.4275
158.0,1.4246
159.0,1.4216
160.0,1.4187
161.0,1.4157
162.0,1.4127
163.0,1.4098
164.0,1.4069
165.0,1.4040
166.0,1.4011
167.0,1.3981
168.0,1.3953
169.0,1.3924
170.0,1.3896
171.0,1.3867
172.0,1.3838
173.0,1.3810
174.0,1.3781
175.0,1.3753
176.0,1.3724
177.0,1.3695
178.0,1.3667
179.0,1.3638
180.0,1.3609
181.0,1.3581
182.0,1.3553
183.0,1.3524
184.0,1.3496
185.0,1.3468
186.0,1.3440
187.0,1.3411
188.0,1.3383
189.0,1.3355
190.0,1.3328
191.0,1.3300
192.0,1.3272
193.0,1.3245
194.0,1.3217
195.0,1.3189
196.0,1.3161
197.0,1.3134
198.0,1.3106
199.0,1.3079
200.0,1.3051
201.0,1.3023
202.0,1.2995
203.0,1.2967
204.0,1.2941
205.0,1.2913
206.0,1.2885
207.0,1.2859
208.0,1.2833
209.0,1.2805
210.0,1.2778
211.0,1.2751
212.0,1.2724
213.0,1.2697
214.0,1.2671
215.0,1.2644
216.0,1.2617
217.0,1.2591
218.0,1.2564
219.0,1.2538
220.0,1.2513
221.0,1.2486
222.0,1.2460
223.0,1.2433
224.0,1.2406
225.0,1.2381
226.0,1.2355
227.0,1.2329
228.0,1.2303
229.0,1.2276
230.0,1.2250
231.0,1.2224
232.0,1.2197
233.0,1.2171
234.0,1.2146
235.0,1.2120
236.0,1.2094
237.0,1.2069
238.0,1.2043
239.0,1.2018
240.0,1.1993
241.0,1.1966
242.0,1.1941
243.0,1.1917
244.0,1.1891
245.0,1.1865
246.0,1.1840
247.0,1.1816
248.0,1.1790
249.0,1.1765
250.0,1.1740
251.0,1.1715
252.0,1.1691
253.0,1.1666
254.0,1.1641
255.0,1.1617
256.0,1.1592
257.0,1.1567
258.0,1.1543
259.0,1.1518
260.0,1.1494
261.0,1.1469
262.0,1.1445
263.0,1.1421
264.0,1.1397
265.0,1.1372
266.0,1.1348
267.0,1.1324
268.0,1.1300
269.0,1.1276
270.0,1.1252
271.0,1.1228
272.0,1.1203
273.0,1.1180
274.0,1.1155
275.0,1.1132
276.0,1.1108
277.0,1.1085
278.0,1.1061
279.0,1.1038
280.0,1.1014
281.0,1.0991
282.0,1.0967
283.0,1.0944
284.0,1.0921
285.0,1.0898
286.0,1.0875
287.0,1.0852
288.0,1.0829
289.0,1.0806
290.0,1.0783
291.0,1.0760
292.0,1.0737
293.0,1.0715
294.0,1.0692
295.0,1.0669
296.0,1.0646
297.0,1.0624
298.0,1.0602
299.0,1.0580
300.0,1.0557
301.0,1.0535
302.0,1.0513
303.0,1.0491
304.0,1.0469
305.0,1.0447
306.0,1.0425
307.0,1.0403
308.0,1.0381
309.0,1.0359
310.0,1.0337
311.0,1.0315
312.0,1.0293
313.0,1.0271
314.0,1.0250
315.0,1.0229
316.0,1.0207
317.0,1.0185
318.0,1.0165
319.0,1.0144
320.0,1.0122
321.0,1.0101
322.0,1.0080
323.0,1.0059
324.0,1.0038
325.0,1.0017
326.0,0.9996
327.0,0.9975
328.0,0.9954
329.0,0.9934
330.0,0.9913
331.0,0.9892
332.0,0.9872
333.0,0.9851
334.0,0.9831
335.0,0.9810
336.0,0.9790
337.0,0.9769
338.0,0.9749
339.0,0.9728
340.0,0.9708
341.0,0.9688
342.0,0.9668
343.0,0.9648
344.0,0.9628
345.0,0.9607
346.0,0.9588
347.0,0.9568
348.0,0.9548
349.0,0.9528
350.0,0.9509
351.0,0.9490
352.0,0.9470
353.0,0.9450
354.0,0.9431
355.0,0.9413
356.0,0.9393
357.0,0.9374
358.0,0.9354
359.0,0.9335
360.0,0.9316
361.0,0.9298
362.0,0.9279
363.0,0.9259
364.0,0.9241
365.0,0.9222
366.0,0.9202
367.0,0.9183
368.0,0.9165
369.0,0.9146
370.0,0.9127
371.0,0.9109
372.0,0.9090
373.0,0.9072
374.0,0.9053
375.0,0.9035
376.0,0.9016
377.0,0.8998
378.0,0.8981
379.0,0.8962
380.0,0.8945
381.0,0.8927
382.0,0.8910
383.0,0.8893
384.0,0.8876
385.0,0.8858
386.0,0.8842
387.0,0.8825
388.0,0.8808
389.0,0.8790
390.0,0.8772
391.0,0.8754
392.0,0.8736
393.0,0.8717
394.0,0.8695
395.0,0.8677
396.0,0.8659
397.0,0.8641
398.0,0.8624
399.0,0.8606
400.0,0.8590
