"WCC3.TMC"
Time/sec,Abs
0.0,1.7437
1.0,1.7378
2.0,1.7317
3.0,1.7256
4.0,1.7199
5.0,1.7142
6.0,1.7084
7.0,1.7024
8.0,1.6966
9.0,1.6909
10.0,1.6842
11.0,1.6780
12.0,1.6722
13.0,1.6674
14.0,1.6617
15.0,1.6558
16.0,1.6482
17.0,1.6416
18.0,1.6349
19.0,1.6282
20.0,1.6219
21.0,1.6155
22.0,1.6092
23.0,1.6030
24.0,1.5966
25.0,1.5904
26.0,1.5840
27.0,1.5776
28.0,1.5717
29.0,1.5654
30.0,1.5590
31.0,1.5527
32.0,1.5463
33.0,1.5401
34.0,1.5337
35.0,1.5273
36.0,1.5210
37.0,1.5148
38.0,1.5086
39.0,1.5025
40.0,1.4958
41.0,1.4892
42.0,1.4828
43.0,1.4764
44.0,1.4701
45.0,1.4638
46.0,1.4575
47.0,1.4512
48.0,1.4449
49.0,1.4387
50.0,1.4323
51.0,1.4260
52.0,1.4197
53.0,1.4134
54.0,1.4072
55.0,1.4012
56.0,1.3949
57.0,1.3889
58.0,1.3828
59.0,1.3767
60.0,1.3705
61.0,1.3645
62.0,1.3586
63.0,1.3525
64.0,1.3463
65.0,1.3405
66.0,1.3345
67.0,1.3283
68.0,1.3226
69.0,1.3165
70.0,1.3102
71.0,1.3043
72.0,1.2986
73.0,1.2922
74.0,1.2861
75.0,1.2801
76.0,1.2739
77.0,1.2673
78.0,1.2611
79.0,1.2551
80.0,1.2491
81.0,1.2432
82.0,1.2373
83.0,1.2315
84.0,1.2256
85.0,1.2197
86.0,1.2139
87.0,1.2082
88.0,1.2025
89.0,1.1968
90.0,1.1911
91.0,1.1854
92.0,1.1798
93.0,1.1740
94.0,1.1686
95.0,1.1632
96.0,1.1576
97.0,1.1523
98.0,1.1469
99.0,1.1416
100.0,1.1364
101.0,1.1309
102.0,1.1253
103.0,1.1197
104.0,1.1140
105.0,1.1083
106.0,1.1024
107.0,1.0968
108.0,1.0913
109.0,1.0858
110.0,1.0804
111.0,1.0751
112.0,1.0699
113.0,1.0646
114.0,1.0594
115.0,1.0542
116.0,1.0490
117.0,1.0439
118.0,1.0387
119.0,1.0335
120.0,1.0284
121.0,1.0234
122.0,1.0183
123.0,1.0132
124.0,1.0081
125.0,1.0030
126.0,0.9980
127.0,0.9930
128.0,0.9881
129.0,0.9831
130.0,0.9782
131.0,0.9733
132.0,0.9687
