"1C.SPC"
WL/nm,Abs
700.00,0.0372
699.00,0.0376
698.00,0.0380
697.00,0.0384
696.00,0.0389
695.00,0.0394
694.00,0.0399
693.00,0.0403
692.00,0.0409
691.00,0.0415
690.00,0.0419
689.00,0.0425
688.00,0.0431
687.00,0.0436
686.00,0.0442
685.00,0.0448
684.00,0.0454
683.00,0.0459
682.00,0.0465
681.00,0.0472
680.00,0.0478
679.00,0.0485
678.00,0.0491
677.00,0.0498
676.00,0.0505
675.00,0.0513
674.00,0.0520
673.00,0.0528
672.00,0.0535
671.00,0.0542
670.00,0.0550
669.00,0.0559
668.00,0.0568
667.00,0.0576
666.00,0.0585
665.00,0.0595
664.00,0.0604
663.00,0.0612
662.00,0.0621
661.00,0.0631
660.00,0.0642
659.00,0.0653
658.00,0.0663
657.00,0.0674
656.00,0.0685
655.00,0.0697
654.00,0.0707
653.00,0.0719
652.00,0.0732
651.00,0.0744
650.00,0.0757
649.00,0.0769
648.00,0.0783
647.00,0.0796
646.00,0.0809
645.00,0.0824
644.00,0.0838
643.00,0.0853
642.00,0.0869
641.00,0.0884
640.00,0.0902
639.00,0.0918
638.00,0.0935
637.00,0.0952
636.00,0.0970
635.00,0.0988
634.00,0.1006
633.00,0.1025
632.00,0.1045
631.00,0.1065
630.00,0.1084
629.00,0.1105
628.00,0.1126
627.00,0.1147
626.00,0.1169
625.00,0.1193
624.00,0.1216
623.00,0.1239
622.00,0.1264
621.00,0.1289
620.00,0.1315
619.00,0.1342
618.00,0.1369
617.00,0.1397
616.00,0.1426
615.00,0.1455
614.00,0.1485
613.00,0.1516
612.00,0.1548
611.00,0.1582
610.00,0.1615
609.00,0.1649
608.00,0.1681
607.00,0.1716
606.00,0.1752
605.00,0.1787
604.00,0.1824
603.00,0.1863
602.00,0.1901
601.00,0.1940
600.00,0.1983
599.00,0.2024
598.00,0.2065
597.00,0.2110
596.00,0.2153
595.00,0.2198
594.00,0.2245
593.00,0.2293
592.00,0.2339
591.00,0.2388
590.00,0.2438
589.00,0.2487
588.00,0.2538
587.00,0.2591
586.00,0.2643
585.00,0.2697
584.00,0.2750
583.00,0.2805
582.00,0.2861
581.00,0.2917
580.00,0.2973
579.00,0.3029
578.00,0.3087
577.00,0.3145
576.00,0.3203
575.00,0.3264
574.00,0.3323
573.00,0.3382
572.00,0.3442
571.00,0.3505
570.00,0.3566
569.00,0.3627
568.00,0.3691
567.00,0.3753
566.00,0.3814
565.00,0.3874
564.00,0.3936
563.00,0.3999
562.00,0.4062
561.00,0.4121
560.00,0.4179
559.00,0.4237
558.00,0.4294
557.00,0.4346
556.00,0.4400
555.00,0.4453
554.00,0.4504
553.00,0.4555
